지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월	연간합
09	전주	남서	45˚	147.42	150.11	185.49	208.70	187.46	177.71	170.45	170.76	183.45	166.91	145.63	113.89	1466.0
09	전주	남서	60˚	148.61	146.62	174.31	192.54	166.56	158.91	154.03	156.15	173.24	159.87	145.57	115.41	1380.9
09	전주	남서	90˚	127.23	118.61	130.83	141.22	113.37	110.37	109.06	111.43	131.79	124.86	122.87	99.74	1051.7
09	전주	동	30˚	94.62	111.95	161.82	194.88	193.56	182.32	173.26	158.31	157.81	137.06	96.91	72.87	1267.9
09	전주	동	45˚	90.42	106.73	152.25	181.69	178.33	168.89	161.69	145.95	148.59	129.98	92.12	69.85	1188.2
09	전주	동	60˚	84.29	99.51	139.38	165.24	159.86	152.15	147.39	131.59	136.57	120.17	85.97	65.83	1086.9
09	전주	동	90˚	68.57	79.57	106.56	126.12	118.30	114.31	113.74	99.33	106.23	94.31	69.21	53.37	839.6
09	전주	서	30˚	96.65	111.25	156.92	200.03	194.02	189.82	177.83	169.34	164.17	131.92	102.69	75.68	1293.4
09	전주	서	45˚	93.05	105.85	146.03	189.32	178.98	178.57	168.29	160.12	156.97	123.90	99.30	73.39	1222.7
09	전주	서	60˚	87.94	98.42	132.60	174.84	160.46	162.73	154.27	146.43	145.94	113.78	92.88	69.40	1124.6
09	전주	서	90˚	71.35	78.43	101.33	136.35	118.59	122.96	117.56	111.02	114.63	87.98	74.51	56.66	870.0
09	전주	북서	30˚	55.45	74.68	122.36	173.88	181.43	183.40	169.24	153.18	135.30	96.39	64.89	45.14	1064.0
09	전주	북서	45˚	43.50	59.64	99.69	150.84	157.83	166.13	152.95	135.56	116.81	77.96	51.91	37.20	914.1
09	전주	북서	60˚	38.54	51.05	83.13	129.72	133.02	144.79	133.73	116.60	101.07	65.65	45.27	33.61	786.9
09	전주	북서	90˚	35.17	43.27	64.11	98.88	94.63	105.92	98.41	85.92	78.76	52.41	39.10	30.34	604.4
