지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
03	서울	수평	0˚	27.62	33.71	41.59	51.07	55.10	57.07	58.80	50.55	43.80	35.40	29.21	25.29
03	서울	남	30˚	27.32	33.22	41.39	51.55	56.35	58.94	60.07	51.52	43.98	34.90	28.70	24.86
03	서울	남	45˚	27.24	33.06	41.32	51.77	56.99	59.92	60.75	51.93	44.05	34.74	28.56	24.76
03	서울	남	60˚	27.17	32.92	41.23	52.01	57.73	61.11	61.57	52.34	44.10	34.58	28.44	24.67
03	서울	남	90˚	27.02	32.57	40.99	53.00	60.80	65.93	64.80	53.96	44.29	34.17	28.16	24.49
03	서울	남동	30˚	27.48	33.36	41.83	50.82	55.86	58.22	59.61	52.25	43.30	35.10	28.57	25.05
03	서울	남동	45˚	27.43	33.12	41.75	50.41	55.62	57.96	59.49	52.38	42.79	34.89	28.36	24.97
03	서울	남동	60˚	27.38	32.85	41.41	49.57	54.67	56.83	58.80	51.71	41.93	34.53	28.12	24.87
03	서울	남동	90˚	27.23	31.87	39.71	45.68	49.17	49.79	53.27	47.75	38.85	33.19	27.45	24.64
03	서울	남서	30˚	27.26	33.17	40.88	51.60	55.48	57.57	59.25	49.27	43.87	34.70	29.00	24.81
03	서울	남서	45˚	27.15	32.92	40.47	51.50	55.13	57.05	58.88	48.33	43.54	34.32	28.86	24.66
03	서울	남서	60˚	27.03	32.63	39.89	50.87	54.08	55.78	57.95	47.01	42.78	33.88	28.72	24.52
03	서울	남서	90˚	26.74	31.64	37.78	47.41	48.48	48.73	51.71	42.01	39.78	32.43	28.27	24.18
03	서울	동	30˚	27.64	33.14	41.74	49.89	54.69	56.59	58.57	51.76	42.26	34.84	28.29	25.05
03	서울	동	45˚	27.15	32.01	40.67	48.27	53.14	54.82	57.36	50.35	40.38	33.54	27.24	24.35
03	서울	동	60˚	26.28	30.46	38.94	45.76	50.37	51.71	54.91	47.82	37.98	31.82	25.98	23.35
03	서울	동	90˚	24.01	26.55	33.91	38.05	41.53	41.90	45.80	39.61	31.93	27.34	22.83	20.79
03	서울	서	30˚	27.20	32.85	40.23	51.05	54.19	55.82	58.02	47.41	43.06	34.19	28.98	24.60
03	서울	서	45˚	26.60	31.73	38.78	49.76	52.51	53.88	56.51	45.03	41.30	32.78	28.15	23.83
03	서울	서	60˚	25.77	30.24	36.83	47.47	49.69	50.78	53.79	41.94	38.88	31.02	26.93	22.81
03	서울	서	90˚	23.53	26.40	31.87	39.83	41.07	41.48	44.43	34.24	32.63	26.73	23.87	20.35
03	서울	북서	30˚	26.89	32.83	40.33	50.80	53.69	55.11	57.49	47.23	42.99	34.21	28.79	23.86
03	서울	북서	45˚	23.23	29.02	37.30	49.02	51.85	53.17	55.95	43.93	39.80	30.43	24.59	18.99
03	서울	북서	60˚	18.92	23.82	32.36	44.27	47.50	48.97	52.05	38.39	34.29	25.20	19.37	13.45
03	서울	북서	90˚	14.15	16.20	23.12	31.29	34.54	35.20	37.32	27.08	23.99	17.61	11.67	7.48
03	서울	북동	30˚	27.40	33.14	41.91	49.75	54.11	55.66	57.89	51.22	42.20	34.94	27.97	24.34
03	서울	북동	45˚	23.72	29.34	39.45	47.48	52.48	53.98	56.70	49.50	38.89	31.19	23.58	19.38
03	서울	북동	60˚	18.56	23.53	34.56	42.46	48.15	49.76	53.16	44.43	33.61	25.53	18.67	13.64
03	서울	북동	90˚	11.20	14.05	24.11	30.00	34.51	34.82	37.59	30.12	23.26	16.80	12.78	7.01
03	서울	북	30˚	31.78	36.07	42.15	50.26	53.47	54.75	57.24	49.03	43.38	37.45	33.02	30.32
03	서울	북	45˚	0.00	0.00	43.40	49.18	51.92	52.85	55.83	47.23	42.49	43.54	0.00	0.00
03	서울	북	60˚	0.00	0.00	13.41	43.21	48.08	49.09	52.65	40.10	25.10	0.00	0.00	0.00
03	서울	북	90˚	0.00	0.00	0.00	10.63	17.62	19.23	20.22	11.31	4.59	0.00	0.00	0.00
04	인천	수평	0˚	26.36	32.62	41.80	49.68	54.94	57.62	57.31	52.37	43.83	36.84	28.36	24.41
04	인천	남	30˚	25.70	32.03	41.62	50.19	56.33	59.56	58.99	53.36	43.87	36.35	27.75	23.76
04	인천	남	45˚	25.53	31.85	41.55	50.40	57.02	60.56	59.85	53.85	43.88	36.17	27.58	23.60
04	인천	남	60˚	25.39	31.68	41.47	50.60	57.80	61.78	60.85	54.32	43.88	36.00	27.44	23.47
04	인천	남	90˚	25.09	31.28	41.24	51.31	60.97	66.66	64.76	56.30	43.88	35.56	27.12	23.21
04	인천	남동	30˚	25.80	32.06	42.30	49.71	55.07	58.56	57.16	51.55	43.15	36.27	27.61	23.85
04	인천	남동	45˚	25.57	31.74	42.25	49.36	54.55	58.19	56.42	50.87	42.65	35.95	27.36	23.66
04	인천	남동	60˚	25.36	31.40	41.89	48.55	53.39	57.00	55.12	49.80	41.86	35.48	27.08	23.47
04	인천	남동	90˚	24.82	30.29	39.88	44.90	47.62	50.08	48.50	45.44	39.07	33.86	26.33	23.02
04	인천	남서	30˚	25.79	32.11	40.71	49.54	55.96	58.34	58.89	54.00	44.07	36.35	28.08	23.87
04	인천	남서	45˚	25.61	31.86	40.11	49.13	55.77	57.89	58.86	54.06	43.90	36.03	27.89	23.70
04	인천	남서	60˚	25.41	31.56	39.36	48.24	54.81	56.63	58.01	53.48	43.25	35.59	27.70	23.50
04	인천	남서	90˚	24.82	30.50	36.82	44.09	49.07	48.82	51.28	48.83	40.46	34.04	27.12	23.05
04	인천	동	30˚	25.52	31.69	42.19	48.85	53.53	56.80	55.21	50.02	42.23	35.84	27.23	23.57
04	인천	동	45˚	24.49	30.39	40.95	47.25	51.65	54.94	53.07	48.10	40.53	34.43	26.08	22.57
04	인천	동	60˚	23.21	28.74	38.94	44.85	48.73	51.86	49.93	45.56	38.33	32.58	24.80	21.39
04	인천	동	90˚	20.52	24.94	33.31	37.75	40.15	41.84	40.54	38.26	32.56	27.92	21.83	18.77
04	인천	서	30˚	25.60	31.81	39.77	48.59	54.79	56.63	57.73	53.36	43.58	36.00	27.94	23.59
04	인천	서	45˚	24.51	30.59	38.06	46.82	53.23	54.69	56.30	52.14	42.00	34.63	26.90	22.58
04	인천	서	60˚	23.26	29.04	35.92	44.02	50.36	51.39	53.31	49.32	39.63	32.83	25.52	21.38
04	인천	서	90˚	20.39	25.28	30.79	36.26	41.33	40.98	42.51	39.80	33.13	28.26	22.39	18.76
04	인천	북서	30˚	25.08	31.78	39.87	48.45	54.14	55.87	56.77	52.80	43.60	36.17	27.63	22.72
04	인천	북서	45˚	20.26	27.79	36.57	45.89	52.55	53.96	55.51	51.36	40.62	32.64	23.11	17.66
04	인천	북서	60˚	15.38	22.74	31.54	40.36	48.13	49.55	51.21	46.01	34.80	27.30	17.96	12.41
04	인천	북서	90˚	9.47	15.69	21.74	27.90	34.28	34.88	34.34	30.97	23.85	18.40	10.63	7.26
04	인천	북동	30˚	25.01	31.62	42.32	48.73	53.05	55.91	54.68	49.74	42.26	35.99	26.86	22.73
04	인천	북동	45˚	20.41	27.50	39.52	46.42	50.93	54.08	52.27	47.18	39.22	32.34	22.52	17.59
04	인천	북동	60˚	15.45	22.08	34.09	41.62	46.45	49.88	47.71	42.67	34.24	26.84	17.92	12.36
04	인천	북동	90˚	9.82	13.67	22.69	28.80	33.47	34.53	33.52	30.89	24.07	17.47	12.14	7.24
04	인천	북	30˚	31.86	35.51	42.28	48.79	53.13	55.24	55.10	50.89	43.75	38.66	32.67	30.31
