지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월	연간합
17	안동	남	30˚	52403.04	49098.02	55990.32	44969.52	52135.82	47124.48	43644.48	43846.95	49769.32	45754.24	38352.02	51507.39	419638.90
17	안동	남	45˚	58656.83	52479.47	56815.80	43112.48	47847.49	42504.44	40175.16	41886.40	49602.73	47748.29	41494.26	58445.12	424072.09
17	안동	남	60˚	61444.14	52866.74	54457.60	39082.48	41144.45	35858.24	34805.07	37816.55	46728.78	47104.43	42343.67	61908.45	405594.36
17	안동	남	90˚	56108.64	44759.06	41037.62	25635.46	22799.80	19211.30	20275.33	24574.09	33812.07	38255.23	37092.69	57720.73	307433.14
17	안동	남동	30˚	45821.10	44737.80	52295.54	43629.64	51278.21	47278.52	43444.34	43698.81	48305.16	42967.68	34452.35	44945.80	396494.99
17	안동	남동	45˚	49430.19	46501.68	51942.55	41721.28	47280.24	43312.51	40330.09	41968.20	47708.23	43928.58	36036.33	49165.63	393859.36
17	안동	남동	60˚	50327.93	45893.68	49383.13	38294.87	41599.06	37830.89	35815.98	38532.29	44815.90	42595.13	35702.22	50661.76	373457.11
17	안동	남동	90˚	43632.19	37807.25	37732.23	27805.18	27573.84	24653.37	24485.28	27849.49	33406.61	33914.71	29995.10	45108.59	287606.32
17	안동	남서	30˚	45313.04	43744.39	51842.35	43901.53	51439.72	46830.97	43432.48	42075.56	45714.98	40919.23	34366.98	43708.81	389518.65
17	안동	남서	45˚	48642.03	45021.13	51276.64	42108.85	47429.24	42661.03	40357.49	39776.02	44287.62	41253.89	36012.96	47538.80	384412.86
17	안동	남서	60˚	49387.93	44135.91	48592.65	38732.50	41623.81	37026.97	35823.42	36094.36	40943.19	39513.68	35739.65	48680.03	362406.40
17	안동	남서	90˚	42629.71	35892.43	36972.38	28248.55	27530.20	24151.38	24416.95	25810.46	29830.58	30862.89	29920.86	42678.79	276659.32
17	안동	동	30˚	30738.76	33874.16	43252.42	39772.83	48680.36	46363.46	42181.55	41036.88	41905.75	34487.33	25777.65	29268.63	334130.19
17	안동	동	45˚	29529.90	32507.31	40754.53	37248.64	44318.33	42477.72	39021.14	38774.59	39422.82	32828.88	24823.56	28496.25	314275.65
17	안동	동	60˚	27893.89	30557.23	37451.30	34069.49	39205.91	37621.73	35019.94	35513.10	35990.85	30410.39	23300.80	27400.37	288115.92
17	안동	동	90˚	23089.18	24693.27	28992.70	26306.44	28346.16	26972.11	26000.35	27178.53	27693.70	24034.34	18696.56	23038.27	222780.99
17	안동	서	30˚	30056.05	32718.81	42604.60	40084.61	48725.01	45761.43	42135.51	38746.28	38695.61	32083.16	25711.27	27886.11	325273.27
17	안동	서	45˚	28788.94	31099.76	39953.39	37698.97	44292.38	41634.18	38953.87	35870.60	35600.24	29929.29	24695.64	26806.01	303410.22
17	안동	서	60˚	27234.44	28970.96	36653.60	34537.90	39140.89	36706.47	34858.87	32422.25	31971.99	27288.72	23088.11	25231.98	276193.78
17	안동	서	90˚	22333.59	23125.84	28406.79	26405.26	28202.06	26417.67	25835.23	24567.09	23782.31	20998.10	18717.53	21284.89	211864.01
17	안동	북서	30˚	15451.61	21361.46	32133.01	34824.86	45018.67	43986.10	40006.21	35202.79	31543.36	23210.17	16836.85	13038.68	257754.03
