지역코드	지역명	구분	단위	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
19	대관	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	95.90	247.70	400.40	546.50	565.95	395.50	116.95	1.45	0.00
19	대관	온도등급 5: θe = 27℃	[h]	0.00	0.00	0.00	4.00	21.60	54.90	175.40	132.10	45.50	0.00	0.00	0.00
19	대관	온도등급 1: θe = -7℃	[Kh]	16582.60	11139.00	5287.50	689.30	0.00	0.00	0.00	0.00	0.00	57.50	3444.30	10290.80
19	대관	온도등급 2: θe = 2℃	[Kh]	3736.00	4451.70	9127.70	3898.50	856.60	0.00	0.00	0.00	362.80	2616.60	6875.40	6071.50
19	대관	온도등급 3: θe = 7℃	[Kh]	7.50	480.90	996.70	4153.50	4178.15	2074.05	164.75	327.33	2339.65	4818.53	2514.48	785.60
20	추풍	온도등급 1: θe = -7℃	[h]	337.20	214.10	55.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.80	192.70
20	추풍	온도등급 2: θe = 2℃	[h]	360.00	356.60	318.20	73.80	3.40	0.00	0.00	0.00	0.00	13.70	212.80	428.30
20	추풍	온도등급 3: θe = 7℃	[h]	46.80	101.30	331.20	486.40	252.60	8.45	0.00	0.00	79.40	413.50	483.90	123.00
20	추풍	온도등급 4: θe = 20℃	[h]	0.00	0.00	39.20	152.20	396.50	524.65	326.40	367.10	522.70	298.50	19.50	0.00
20	추풍	온도등급 5: θe = 27℃	[h]	0.00	0.00	0.00	7.60	91.50	186.90	417.60	376.90	117.90	18.30	0.00	0.00
20	추풍	온도등급 1: θe = -7℃	[Kh]	8763.60	5569.00	1365.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	87.40	4767.40
20	추풍	온도등급 2: θe = 2℃	[Kh]	7051.90	6855.30	6037.00	1286.90	54.50	0.00	0.00	0.00	0.00	227.90	3875.50	8168.90
20	추풍	온도등급 3: θe = 7℃	[Kh]	667.20	1222.10	3691.30	4937.75	2194.35	59.68	0.00	0.00	613.80	3624.10	5290.15	1644.60
