지역코드	지역명	시간	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
05	원주	17	0.42	0.41	0.36	0.34	0.39	0.48	0.64	0.68	0.61	0.54	0.49	0.52	
05	원주	18	0.46	0.46	0.39	0.37	0.41	0.49	0.65	0.71	0.65	0.64	0.55	0.55	
05	원주	19	0.54	0.51	0.45	0.41	0.44	0.52	0.68	0.75	0.74	0.70	0.62	0.60	
05	원주	20	0.57	0.55	0.49	0.46	0.50	0.56	0.72	0.78	0.78	0.73	0.65	0.63	
05	원주	21	0.59	0.58	0.51	0.51	0.54	0.61	0.75	0.80	0.80	0.76	0.68	0.66	
05	원주	22	0.63	0.61	0.55	0.55	0.59	0.64	0.77	0.81	0.82	0.79	0.70	0.67	
05	원주	23	0.66	0.63	0.59	0.58	0.62	0.67	0.80	0.82	0.84	0.81	0.71	0.68	
05	원주	24	0.67	0.65	0.63	0.61	0.65	0.68	0.82	0.83	0.86	0.83	0.72	0.72	
06	청주	1	0.69	0.62	0.65	0.61	0.63	0.75	0.81	0.83	0.75	0.78	0.70	0.72	
06	청주	2	0.70	0.63	0.67	0.63	0.67	0.76	0.82	0.84	0.77	0.81	0.72	0.72	
06	청주	3	0.71	0.65	0.69	0.67	0.69	0.79	0.83	0.85	0.79	0.83	0.74	0.74	
06	청주	4	0.72	0.67	0.70	0.69	0.72	0.78	0.85	0.85	0.80	0.84	0.76	0.75	
06	청주	5	0.74	0.68	0.71	0.72	0.75	0.80	0.85	0.86	0.82	0.85	0.76	0.75	
06	청주	6	0.74	0.69	0.72	0.74	0.75	0.81	0.85	0.86	0.83	0.86	0.76	0.76	
06	청주	7	0.75	0.69	0.73	0.74	0.73	0.77	0.84	0.86	0.83	0.87	0.76	0.76	
06	청주	8	0.76	0.69	0.71	0.70	0.69	0.74	0.80	0.82	0.80	0.84	0.75	0.75	
06	청주	9	0.74	0.65	0.67	0.63	0.61	0.69	0.76	0.78	0.75	0.77	0.70	0.72	
06	청주	10	0.68	0.60	0.60	0.55	0.56	0.61	0.72	0.72	0.69	0.71	0.63	0.67	
06	청주	11	0.64	0.53	0.53	0.45	0.50	0.56	0.68	0.68	0.62	0.64	0.56	0.62	
06	청주	12	0.58	0.48	0.49	0.39	0.46	0.53	0.66	0.65	0.58	0.56	0.51	0.57	
06	청주	13	0.53	0.44	0.47	0.35	0.42	0.48	0.65	0.62	0.53	0.50	0.47	0.54	
06	청주	14	0.50	0.41	0.45	0.33	0.40	0.47	0.64	0.60	0.48	0.46	0.44	0.51	
06	청주	15	0.48	0.40	0.44	0.32	0.39	0.46	0.62	0.60	0.47	0.44	0.42	0.52	
06	청주	16	0.49	0.39	0.43	0.32	0.37	0.47	0.63	0.60	0.47	0.45	0.41	0.54	
06	청주	17	0.51	0.40	0.45	0.33	0.38	0.48	0.64	0.61	0.48	0.47	0.44	0.56	
06	청주	18	0.54	0.43	0.47	0.36	0.40	0.51	0.65	0.64	0.51	0.52	0.49	0.60	
06	청주	19	0.57	0.47	0.51	0.40	0.44	0.55	0.68	0.69	0.57	0.56	0.53	0.63	
06	청주	20	0.59	0.50	0.53	0.43	0.48	0.61	0.71	0.73	0.61	0.61	0.55	0.66	
06	청주	21	0.60	0.53	0.55	0.47	0.53	0.65	0.73	0.76	0.64	0.66	0.59	0.67	
06	청주	22	0.62	0.56	0.57	0.50	0.56	0.67	0.75	0.78	0.67	0.70	0.62	0.69	
06	청주	23	0.64	0.58	0.60	0.53	0.58	0.71	0.77	0.80	0.70	0.73	0.65	0.71	
06	청주	24	0.66	0.59	0.63	0.59	0.60	0.72	0.80	0.81	0.72	0.76	0.67	0.72	
07	대전	1	0.74	0.70	0.65	0.62	0.67	0.74	0.83	0.85	0.83	0.83	0.76	0.75	
07	대전	2	0.75	0.73	0.66	0.66	0.70	0.76	0.83	0.86	0.84	0.84	0.78	0.76	
07	대전	3	0.77	0.74	0.69	0.69	0.72	0.78	0.84	0.87	0.85	0.85	0.79	0.77	
07	대전	4	0.78	0.74	0.71	0.71	0.74	0.79	0.85	0.87	0.86	0.85	0.80	0.78	
07	대전	5	0.79	0.76	0.71	0.74	0.76	0.81	0.85	0.87	0.87	0.86	0.82	0.78	
07	대전	6	0.80	0.76	0.73	0.76	0.78	0.82	0.86	0.88	0.87	0.87	0.82	0.79	
07	대전	7	0.80	0.78	0.74	0.76	0.75	0.78	0.84	0.87	0.88	0.88	0.83	0.79	
07	대전	8	0.81	0.79	0.69	0.68	0.69	0.72	0.81	0.82	0.82	0.84	0.82	0.79	
07	대전	9	0.77	0.74	0.63	0.58	0.62	0.66	0.77	0.78	0.75	0.77	0.75	0.75	
07	대전	10	0.69	0.68	0.56	0.49	0.57	0.62	0.73	0.73	0.69	0.69	0.67	0.67	
07	대전	11	0.60	0.58	0.50	0.42	0.53	0.57	0.69	0.72	0.63	0.62	0.59	0.60	
07	대전	12	0.54	0.52	0.46	0.36	0.50	0.55	0.66	0.69	0.59	0.57	0.52	0.53	
07	대전	13	0.50	0.48	0.43	0.34	0.46	0.52	0.65	0.68	0.55	0.52	0.48	0.48	
07	대전	14	0.48	0.46	0.42	0.32	0.44	0.51	0.65	0.67	0.52	0.49	0.46	0.46	
07	대전	15	0.48	0.46	0.41	0.31	0.44	0.52	0.65	0.68	0.51	0.49	0.44	0.47	
