방위,γF,Dclass,Etask,"FD,SNA"
북,60,Low,1000,0.28
북,60,Medium,100,0.97
북,60,Medium,300,0.89
북,60,Medium,500,0.78
북,60,Medium,750,0.63
북,60,Medium,1000,0.51
북,60,Strong,100,0.98
북,60,Strong,300,0.94
북,60,Strong,500,0.88
북,60,Strong,750,0.79
북,60,Strong,1000,0.69
북,90,None,100,0
북,90,None,300,0
북,90,None,500,0
북,90,None,750,0
북,90,None,1000,0
북,90,Low,100,0.93
북,90,Low,300,0.68
북,90,Low,500,0.46
북,90,Low,750,0.31
북,90,Low,1000,0.23
북,90,Medium,100,0.96
북,90,Medium,300,0.86
북,90,Medium,500,0.72
북,90,Medium,750,0.55
북,90,Medium,1000,0.42
북,90,Strong,100,0.97
북,90,Strong,300,0.92
북,90,Strong,500,0.84
북,90,Strong,750,0.73
북,90,Strong,1000,0.61
